rank,grade,usernme,uploads,subscribers,top_views
164,A- ,Juan De Dios Pantoja,1,19.4M,121621875
165,A ,1theK (원더케이),17253,19.3M,16324131347
166,A ,Valentina Pontes,796,19.3M,5618911560
167,A- ,Skrillex,172,19.3M,5416168128
168,D- ,Vevo,1556,19.3M,579645799
169,D- ,Amit Bhadana,69,19.2M,1472271543
170,A- ,DrossRotzank,1331,19.2M,4477806049
171,B+ ,Enrique Iglesias,360,19.1M,851783345
172,A ,DisneyMusicVEVO,1181,19M,12385755092
173,B- ,ChrisBrownTV,18,18.9M,35155216
174,A+ ,Maria Clara & JP,474,18.9M,7758538374
175,A ,shakiraVEVO,165,18.9M,17778215940
176,A ,AuthenticGames,3929,18.8M,7795272449
177,A+ ,shfa2 - شفا,462,18.6M,7836453846
178,A+ ,قناة طيور الجنة | toy…,2658,18.6M,15292791626
179,A- ,James Charles,270,18.6M,2132591637
180,B+ ,The Weeknd,74,18.6M,951171736
181,A ,Tasty,3916,18.5M,4271895748
182,A- ,5-Minute Crafts GIRLY,2288,18.4M,3536620359
183,A- ,The ACE Family,528,18.4M,3665701531
184,A ,ArianaGrandeVevo,111,18.4M,13893709239
185,A ,Marília Mendonça,91,18.4M,10160913355
186,A ,A4,201,18.2M,2025608862
187,A ,GMM GRAMMY OFFICIAL,7872,18.2M,17796545421
188,A- ,Post Malone,38,18.2M,1611306918
189,B+ ,DJ Snake,172,18.1M,129068732
190,A- ,jeffreestar,374,18.1M,2300431639
191,A- ,PTXofficial,218,18M,4450294607
192,A ,Troom Troom,1243,18M,6462544851
193,A- ,LuisFonsiVEVO,70,17.8M,11953447238
194,B+ ,Liza Koshy,169,17.8M,2430055298
195,A ,Mister Max,753,17.7M,9166006801
196,A- ,ashish chanchlani vines,135,17.7M,1918488269
197,A ,Miss Katy,721,17.7M,8963790363
198,A ,Renato Garcia,2290,17.6M,3068303991
199,A ,Jelly,4112,17.5M,8670965031
200,A ,KHANDESHI MOVIES,123,17.4M,5369402378
201,B ,Avicii,148,17.3M,62386638
202,A ,David Dobrik,625,17.2M,7265869248
203,A ,DLS News,1294,17.2M,1123146545
204,A ,Jkk Entertainment,127,17.1M,6092636376
205,A- ,Lil pump,43,17.1M,3493642223
206,A- ,TheWillyrex,5813,17.1M,6110985778
207,B ,Calvin Harris,73,17.1M,152102261
208,A- ,BB Ki Vines,161,17.1M,2423003620
209,A ,toycantando,373,17.1M,8352119798
210,A ,5-Minute Crafts PLAY,2184,17M,3698008806
211,B ,Sia,67,17M,255436659
212,A+ ,netd müzik,12538,17M,35395522555
213,A- ,TED,3345,17M,1832510817
214,A- ,PopularMMOs,4598,16.9M,13819181433
215,A- ,Ali-A,3417,16.8M,4991149401
216,B ,Michael Jackson,4,16.8M,10524791
217,A ,Jimmy Kimmel Live,4683,16.7M,9802559520
218,A ,Coldplay,265,16.7M,10227962137
219,A- ,Charlie Puth,90,16.6M,6393077756
220,B+ ,Werevertumorro,1051,16.6M,2726523938
221,A- ,Totoykids,775,16.6M,7573322917
222,A ,Anuel AA,31,16.5M,2214564386
223,A+ ,GMA Network,85605,16.5M,16446538273
224,A ,HaerteTest,445,16.5M,2620318738
225,A- ,Doggy Doggy Cartoons,2841,16.5M,5995648754
226,A- ,Unbox Therapy,1774,16.5M,3573832671
227,A ,Talking Tom,271,16.4M,7349684191
228,A ,mmoshaya,937,16.4M,9399423354
229,A- ,""">Porta dos Fundos",1436,16.4M,5826618675
230,A- ,Good Mythical Morning,2449,16.4M,6378929206
231,A- ,SlivkiShow,317,16.4M,3088392670
232,A- ,KAROL G,87,16.3M,522662324
233,A- ,Lele Pons,144,16.2M,3802357046
234,B ,Demi Lovato,196,16.2M,411351806
235,A- ,Brave Wilderness,579,16.1M,3190193351
236,B ,Caeli,530,16.1M,1490078485
237,A- ,Cia. Daniel Saboya,979,16.1M,4892129329
238,A ,ABP NEWS HINDI,67844,16.1M,3621954956
239,B- ,Becky G,57,16M,36463596
240,B+ ,EeOneGuy,318,16M,3533794255
241,A- ,JukiLop,85,16M,1168249675
