rank,grade,name,posts/media,followers,following
210,A ,EA SPORTS FIFA,1705,20864101,177
211,A ,EXO_CY,786,20802454,240
212,A ,SUPER MEGA  BINTANG,16507,20798927,2059
213,A ,Arnold Schwarzenegger,835,20588932,120
214,A ,Jordan,284,20466024,132
215,A ,Grazi Massafera,4033,20461479,1383
216,A ,Anastasia Beverly Hills,13234,20460025,1761
217,A ,Sabrina Carpenter,1252,20325734,499
218,A ,Mia K.,1948,20236078,507
219,A ,ufc,16913,20156871,1818
220,A ,T-Raww,385,20105567,981
221,A ,rodrigofaro,3758,20004649,1027
222,A ,Positive & Motivational Quotes,1608,19936898,64
223,A ,Sephora,7131,19923332,471
224,A ,Amber Rose,778,19915334,915
225,A ,Sarwendah29,4678,19882535,543
226,A ,Chiara Ferragni ✨,12866,19875447,1118
227,A ,Rina Nose,758,19806943,359
228,A ,Meek Mill,1250,19773143,2798
229,A ,DJ KHALED,31171,19630269,4453
230,A ,Nina Dobrev,3538,19604092,355
231,A ,Madelaine Petsch,457,19593350,339
232,A ,pefabiodemelo,4754,19581971,749
233,A ,President Donald J. Trump,5564,19519819,7
234,A ,Andrew Bachelor,4556,19512173,713
235,A ,Noah,301,19421733,60
236,A ,Isco Alarcon Suarez,472,19348327,551
237,A ,Shireen Sungkar,3291,19347368,771
238,A ,loren gray,1289,19346981,296
239,A ,Caio Castro,1540,19319491,308
240,A ,Alok,1178,19307668,763
241,A ,Ursula Corbero ?,485,19207096,767
242,A ,Alicia Keys,2542,19148079,1372
243,A ,Brent Rivera,2001,19138903,434
244,A ,Luis El Crack,2558,19114849,768
245,A ,StreetArtGlobe ™,7011,19109895,207
246,A ,Netflix Brasil,1523,19027768,201
247,A ,Liam Payne,872,19027671,213
248,A ,OZUNA ??????,332,18974458,45
249,A ,Victoria Justice,2524,18937207,179
250,A ,Sofia Vergara,4098,18881434,1187
251,A ,Sonakshi Sinha,1288,18861721,234
252,A ,shreyaghoshal,1627,18797364,445
253,A ,Lily Collins,3442,18795467,353
254,A ,RICIS,310,18761664,993
255,A ,Ferrari,2459,18753893,5
256,A ,Manchester City,10134,18744419,157
257,A ,Kimberly Loaiza,367,18684056,1276
258,A ,The Shade Room,91185,18650757,1047
259,A ,Liza Koshy,1859,18513824,1530
260,A ,Luisa Sonza,1338,18468313,1849
261,A ,Luciano Huck,2813,18446100,987
262,A ,Starbucks Coffee ☕,1969,18392185,3780
263,A ,Deborah Secco,3930,18361784,1248
264,A ,Jessica Alba,3999,18233313,5339
265,A ,Bhabie?,758,18233029,53
266,A ,Gerard Pique,351,18200800,281
267,A ,Hannah Stocking,1149,18146069,1051
268,A ,vans,3822,18125952,281
269,A ,Georgina Rodriguez,409,18026762,419
270,A ,Madison Beer,448,17976333,920
271,A ,Romeo Santos,394,17856181,-- 
272,A ,Jimmy Fallon,748,17825546,749
273,A ,Sandra Dewi,5496,17819632,461
274,A ,Logan Paul,941,17786251,515
275,A ,James Charles,862,17754631,245
276,A ,Everson Silva,10460,17729170,1268
277,A ,Mark Ruffalo,1084,17699772,311
278,A ,NFL,32729,17655408,1307
279,A ,Brittanya Razavi,724,17641724,370
280,A ,Rockstar Games,3385,17565470,830
281,A ,MAKE OUT HILL,1,17532833,4
282,A ,Arsenal Official,9724,17497484,123
283,A ,Channing Tatum,91,17481310,993
284,A ,FIFA World Cup,8447,17385005,1097
285,A ,Bruno Gagliasso ?⚡️??,5154,17345900,2851
286,A ,Flavia Pavanelli,2563,17305021,917
287,A ,Jackson Wang 王嘉爾 왕잭슨,661,17259763,412
288,A ,LIVE 2 - Lucas Lucco 09/05,2734,17222099,2612
289,A ,GoPro,5628,17154564,329
290,A ,charli d'amelio,280,17144342,1475
291,A ,Robert Lewandowski,1293,17140479,106
292,A ,Alyssa Soebandono,1393,17110020,440
293,A ,Burberry,4872,17087498,2
294,A ,Martin Garrix,3055,17063773,1583
295,A ,?FARRUKO??,2167,17048745,1452
296,A ,SportsCenter,30697,16994514,1276
297,A ,House of Highlights,15596,16983814,809
298,A ,Kaka,1305,16982310,546
299,A ,?  EarthPix  ?,6096,16849328,3
300,A ,Diddy,13353,16800680,1258
301,A ,CARLINHOS MAIA,1372,16798867,553
302,A ,DR. SHAQUILLE O'NEAL Ed.D.,2915,16795571,1213
303,A ,QuavoHuncho,3731,16768235,430
304,A ,Emporio Armani,7033,16711251,8
305,A ,KARTIK AARYAN,1543,16704274,502
306,A ,Thiago Silva,1921,16697012,1277
307,A ,Noah Schnapp,534,16642707,1559
308,A ,dwyanewade,2815,16633743,1396
309,A ,Tamer Hosny,1340,16624524,78
310,A ,Ronaldo,1163,16610270,871
311,A ,Chloe Grace Moretz,2788,16584423,2877
312,A ,Jorge e Mateus,4634,16583623,24
313,A ,Jair M. Bolsonaro,3835,16577890,456
314,A ,Blac Chyna,4719,16566897,3732
315,A ,Ольга Бузова ,12461,16554228,181
316,A ,Jessica Mila Agnesia,1672,16544435,1352
317,A ,BAD MI ⚡️,6,16540149,823
318,A ,Anna Kendrick,936,16480000,147
319,A ,OFFSET,2553,16474037,422
320,A ,Nia Ramadhani Bakrie,2086,16413368,734
321,A ,Davido Adeleke,4101,16328751,5647
322,A ,iansomerhalder,993,16327792,347
323,A ,PeytonList,1234,16303790,894
324,A ,Clips - For Your Entertainment,2623,16255669,84
325,A ,Zaskia Adya Mecca,5360,16250797,853
326,A ,RITA ORA,3478,16231780,995
327,A ,Iker Casillas,1748,16229158,1037
328,A ,Lana Del Rey,568,16224289,615
329,A ,Jannat Zubair Rahmani,772,16223772,29
330,A ,Ice Cube,2011,16158663,19
331,A ,Videos / Funny / Memes,6909,16148767,242
332,A ,Michael Kors,5273,16147718,299
333,A ,ESPN,23531,16126092,455
334,A ,Thalia,9359,16064786,2824
335,A ,Gabrielle Union-Wade,3425,16056896,1686
336,A ,Taapsee Pannu,2159,16028529,245
337,A ,Gisele Bundchen,621,15939743,119
338,A ,Shilpa Shetty Kundra,2394,15905028,269
339,A ,????,577,15897422,788
340,A ,Audi,2093,15895548,499
341,A ,forever21,11218,15884137,386
342,A ,Gading Marten,10053,15812850,2800
343,A ,Burak Ozdemir,1340,15799026,164
344,A ,Maia Estianty (M.E) The Queen,2906,15775607,790
345,A ,alexandra daddario,1455,15731678,738
346,A ,taraji p henson,4658,15684124,1170
347,A ,Sophie Turner,391,15583073,863
348,A ,Sofia Carson,1513,15527341,1497
349,A ,Lewis Hamilton,793,15441488,371
350,A ,Black Star,3963,15439744,251
351,A ,CARMEN VILLALOBOS,2470,15433404,801
352,A ,Raditya Dika,4563,15382173,355
353,A ,Ruby Rose,556,15349148,409
354,A ,Enrique Iglesias,290,15348319,2
355,A ,6ix9ine,142,15338866,-- 
356,A ,Debby Ryan,2534,15326719,856
357,A ,Future Hendrix,12,15292495,-- 
358,A ,ollaramlan,1229,15230809,599
359,A ,Sam Smith,1091,15205121,2973
360,A ,Mari Maria,2471,15194451,703
361,A ,Lisa and Lena | Germany®,1689,15188147,512
362,A ,FunnyHoodVidz,41205,15179640,2355
363,A ,Fendi,6050,15179454,5
364,A ,Hilary Duff,2605,15129717,1017
365,A ,Bunga Citra Lestari,4801,15115531,955
366,A ,Wayne Rooney,982,15097727,302
367,A ,Gianluca Vacchi,3039,15076268,336
368,A ,Jaime Lorente Lopez,375,15050546,1098
369,A ,Daquan,8448,15030769,203
370,A ,ADDISON RAE,268,15023230,688
371,A ,Stranger Things,472,15013357,32
372,A ,Tyler Blevins,1037,14986276,197
373,A ,Hugo Gloss,25029,14968783,6660
374,A ,Jason Momoa,2474,14966151,851
375,A ,Juliana Salimeni ?,9281,14959124,1650
376,A ,Jaden Smith,1693,14829121,130
377,A ,Charlie Puth,130,14746360,295
378,A ,Salma Hayek Pinault,1620,14731440,253
379,A ,Khoirunissa,201,14668056,894
380,A ,Simone e Simaria,5163,14665829,1237
381,A ,Manu Gavassi,4823,14640007,1679
382,A ,E! News,25665,14618794,902
383,A ,Dmitriy Shelengovskiy,27,14618567,69
384,A ,Bretman (Da Baddest) Rock,1445,14595906,147
385,A ,Jeremy Renner,1167,14594056,171
386,A ,NYX Professional Makeup,7548,14585014,1155
387,A ,Golden State Warriors,12065,14562545,230
388,A ,Titania Aurelie Nurhermansyah,1771,14559865,2819
389,A ,RAFAELLA KALIMANN,2299,14559333,2907
390,A ,elliegoulding,345,14558208,787
391,A ,Ксения Бородина,10627,14556209,290
392,A ,Gabriel Jesus,1045,14508278,677
393,A ,Kajal Aggarwal,1760,14474409,1016
394,A ,Julio Cocielo Estaniecki,1414,14464597,1504
395,A ,Louis Tomlinson,382,14420072,224
396,A ,Павел Воля | Pavel Volya ,2531,14390832,154
397,A ,Ricky,1662,14345375,1302
398,A ,Eugenio Derbez,906,14334147,322
399,A ,Candice Swanepoel,2141,14330120,1195
400,A ,Leo Santana,492,14301286,1484
401,A ,GIVENCHY,3837,14296914,-- 
402,A ,:Dagelan - Asikin aja lagiii,49504,14277903,900
403,A ,Odell Beckham Jr,3025,14154640,1052
404,A ,Liam Hemsworth,166,14154441,238
405,A ,Taylor Hill,2067,14147173,416
406,A ,kristen bell,1084,14131551,394
407,A ,NikkieTutorials,3166,14059843,658
408,A ,Viih Tube,2458,14031488,1023
409,A ,Raphael Varane,922,14026068,52
410,A ,juandediospantoja,526,14007143,2374
411,A ,Demi ?,1078,13984584,503
412,A ,Supreme,1547,13976107,110
413,A ,Alexis Ren,667,13966221,92
414,A ,이민호 leeminho,131,13964943,2
415,A ,kenzie ♡,1044,13916375,1699
416,A ,alghazalikohler,1160,13901811,852
417,A ,Valentino,7911,13853003,1
418,A ,Tommy Hilfiger,2683,13824369,299
419,A ,shrutzhaasan,1783,13806135,1210
420,A ,Gaten Matarazzo,874,13802144,1272
421,A ,LOVE FOOD FASHION VIDEOS DIY,3776,13725658,86
422,A ,Michelle Lewin,1522,13705545,256
423,A ,John Cena,2156,13672973,-- 
424,A ,maddieziegler,1840,13614472,2931
425,A ,Los Angeles Lakers,9426,13591349,68
426,A ,Miguel Herran,510,13511946,910
427,A ,Luisa Fernanda W,4614,13503313,3200
428,A ,ГУСЕЙН ГАСАНОВ,318,13482745,78
429,A ,Christian Louboutin,5015,13471308,1391
430,A ,Too Faced Cosmetics,7614,13424594,2104
431,A ,Red Bull,8000,13423145,1633
432,A ,Team India,4118,13420781,53
433,A ,Iggy Azalea,5,13417538,5
434,A ,"Nicole ""Snooki"" Polizzi",6316,13408387,620
435,A ,Rohit Sharma,840,13400463,97
436,A ,Greeicy,3899,13391297,1315
437,A ,ussy sulistiawaty,7219,13380303,755
438,A ,BEAUTIFUL DESTINATIONS,9502,13368350,43
439,A ,Star Wars,3884,13343578,117
440,A ,Yanet Garcia ??,1856,13315873,857
441,A ,TᕼᗩIᔕ ᖴEᖇᔕOᘔᗩ ,3357,13305818,510
442,A ,Mustafa Hosny مصطفى حسني,6303,13305066,7
443,A ,Drew Barrymore,1451,13281037,1196
444,A ,paulogustavo31,7057,13270827,1044
445,A ,Walt Disney Studios,3914,13268506,132
446,A ,hasan reyvandi حسن ریوندی,806,13255121,57
447,A ,BADABUN,2923,13252409,6147
448,A ,J O E J O N A S,3700,13230858,166
449,A ,Телеканал ТНТ ,15578,13205724,422
450,A ,Kefera,2932,13163197,1219
451,A ,Falcao,1124,13161663,1270
452,A ,Joelle Mardinian,8462,13145942,2764
453,A ,Roberto Firmino,889,13127879,609
454,A ,Jake Paul,999,13110824,845
455,A ,GypsyVikingWitch,2471,13067048,1244
456,A ,Çağrı Taner,19086,13063298,246
457,A ,Ronda Rousey,3133,13058391,1556
458,A ,Liza Soberano,625,13047173,457
459,A ,SPORF,2522,13024172,874
460,A ,hailee steinfeld,1290,13004407,117
461,A ,Nora Fatehi,1242,12990446,649
462,A ,Irish Bella,253,12971804,3
463,A ,Rafael Vitti,2746,12971560,1798
464,A ,GUESS WHO FUCCKIN YO BITVH,14,12950482,344
465,A ,Giovanna Antonelli,4378,12926092,1207
466,A ,Soimah Pancawati,3208,12921494,311
467,A ,Pevita Pearce,948,12914712,790
468,A ,Daniella Chávez,244,12905964,242
469,A ,Atta Halilintar,2057,12841397,4004
470,A ,Jen Selter,1593,12831770,324
471,A ,Bleacher Report,29900,12825924,588
472,A ,박서준,218,12810489,68
473,A ,Arturo Vidal,1597,12809646,340
474,A ,Mercedes-AMG,6024,12753827,404
475,A ,Little Mix,3485,12745372,211
476,A ,Prince Royce,1595,12726456,83
477,A ,Adam Levine,587,12723190,413
